1,Buildcon,http://ksmr.000webhostapp.com/bola/logos/buildcon.jpg,Levy Mwanawasa Stadium,Tenant Chembo,0,Ndola
2,Forest Rangers,http://ksmr.000webhostapp.com/bola/logos/forest_rangers.png,Trade Fair Grounds,Perry Mutapa,0,Ndola
3,Green Buffaloes,http://ksmr.000webhostapp.com/bola/logos/gbfc.jpg,Edwin Imboela Stadium,Bilton Musonda,6,Lusaka
4,Green Eagles,http://ksmr.000webhostapp.com/bola/logos/green_eagles.jpg,Independence Stadium,Aggrey Chiyangi,0,Choma
5,Kabwe Warriors,http://ksmr.000webhostapp.com/bola/logos/kabwe_warriors.jpg,Godfrey Ucar Chitalu Stadium,Tenant Chilumba ,5,Kabwe
6,Kitwe United,http://ksmr.000webhostapp.com/bola/logos/kitwe_united.jpg,Garden Park Stadium,Willie Chalwe,0,Kitwe
7,KYSA,http://ksmr.000webhostapp.com/bola/logos/kysa.jpg,Godfrey Ucar Chitalu Stadium,Steven Mwansa,0,Kabwe
8,L. Dynamos,http://ksmr.000webhostapp.com/bola/logos/ld.jpg,Sunset Stadium,Zeddy Saileti,0,Lusaka
9,L. Radiants,http://ksmr.000webhostapp.com/bola/logos/lumwana.jpg,Lumwana Stadium,Danny Kabwe,0,Lumwana
10,M. Swallows,http://ksmr.000webhostapp.com/bola/logos/swallows.jpg,Lwengu International Sports stadium,Fewdays Musonda,0,Monze
11,N. Leopards,http://ksmr.000webhostapp.com/bola/logos/nakambala.jpg,Nakambala Stadium,Patrick Phiri,0,Nakambala
12,NAPSA Stars,http://ksmr.000webhostapp.com/bola/logos/napsa.jpg,Woodlands Stadium,Linos Makwaza,0,Lusaka
13,N. Assembly,http://ksmr.000webhostapp.com/bola/logos/national.jpg,Woodlands Stadium,Oswald Mutapa,0,Lusaka
14,Nchanga Rangers,http://ksmr.000webhostapp.com/bola/logos/nchanga.jpg,Nchanga Stadium,Evans Sakala ,1,Chingola
15,Nkana FC,http://ksmr.000webhostapp.com/bola/logos/nkana.jpg,Nkana Stadium,Beston Chambeshi,12,Kitwe
16,Nkwazi,http://ksmr.000webhostapp.com/bola/logos/nkwazi.jpg,Edwin Imboela Stadium,Albert Mphande,0,Lusaka
17,P. Dynamos,http://ksmr.000webhostapp.com/bola/logos/power.jpg,Arthur Davies Stadium,Kelvin Kaindu,6,Kitwe
18,Red Arrows,http://ksmr.000webhostapp.com/bola/logos/red_arrows.jpg,Nkoloma Stadium,Honour Janza,1,Lusaka
19,ZANACO,http://ksmr.000webhostapp.com/bola/logos/zanaco.png,National Heroes Stadium,Mumamba Numba,7,Lusaka
20,ZESCO Utd,http://ksmr.000webhostapp.com/bola/logos/zesco.png,Levy Mwanawasa Stadium,George Lwandamina,6,Ndola
